date,ticker,open,high,low,close,volume,rolling_7d_avg,rolling_30d_avg,volatility_score,daily_return_pct,price_range
2025-05-12,AAPL,210.32995926202443,210.6290521628615,206.1227607044075,210.15049743652344,63775800.0,210.1505,210.1505,,,4.5063
2025-05-13,AAPL,209.79158118866215,212.75257189298435,208.36592688565327,212.28399658203125,51909300.0,211.2172,211.2172,1.5086,1.0152,4.3866
2025-05-14,AAPL,211.78550901932945,213.29093762104836,209.94113079478424,211.68582153320312,49325800.0,211.3734,211.3734,1.1005,-0.2818,3.3498
2025-05-15,AAPL,210.31001909194575,212.3139309113297,208.90429308394448,210.8085021972656,45029500.0,211.2322,211.2322,0.9419,-0.4144,3.4096
2025-05-16,AAPL,211.71573318604425,211.92510277199543,209.1335944967917,210.6190643310547,54737900.0,211.1096,211.1096,0.8606,-0.0899,2.7915
2025-05-19,AAPL,207.27923550566183,208.84446444770492,203.64029993754312,208.14659118652344,46140500.0,210.6157,210.6157,1.4338,-1.1739,5.2042
2025-05-20,AAPL,207.03996203611737,207.83753801206535,204.40797196423648,206.232421875,42496600.0,209.9896,209.9896,2.1114,-0.9196,3.4296
2025-05-21,AAPL,204.5475404614086,206.41186226922272,200.10108001028595,201.4768829345703,59211800.0,208.7505,208.9255,3.5888,-2.3059,6.3108
2025-05-22,AAPL,200.1010626250374,202.1348666739061,199.09411717835945,200.74908447265625,46742400.0,207.1026,208.017,4.3241,-0.3612,3.0407
2025-05-23,AAPL,193.082445017036,197.1002176461426,192.8730906309023,194.67759704589844,78432900.0,204.6729,206.683,5.8663,-3.0244,4.2271
2025-05-27,AAPL,197.6983910952664,200.1309909415137,196.83102019804124,199.60260009765625,56288500.0,203.072,206.0394,5.9607,2.5298,3.3
2025-05-28,AAPL,199.98143310081724,202.11494001836,199.2935240345892,199.81195068359372,45339700.0,201.5282,205.5204,5.9609,0.1049,2.8214
2025-05-29,AAPL,202.9623758748587,203.19167383577107,197.90775006205251,199.3433837890625,51396800.0,200.2706,205.0453,5.9587,-0.2345,5.2839
